,Bubble Sort,Selection Sort,Insertion Sort,Shell Sort,Quick Sort,Merge Sort
1k,0.18624567985534668,0.10602752367655437,0.09994419415791829,0.021164655685424805,0.005029360453287761,0.006998856862386067
10k,18.715084075927734,9.429282983144125,10.19177802403768,0.08876307805379231,0.021593093872070312,0.0937482515970866
20k,77.14963523546855,37.66838630040487,41.07524792353312,0.20212801297505698,0.03861323992411295,0.17156235376993814
30k,170.54432209332785,85.99974473317464,92.15073855717976,0.3130022684733073,0.05936439832051595,0.2641561031341553
40k,301.0206826527913,146.30523578325906,162.88565834363303,0.4537923336029053,0.07676458358764648,0.363977591196696
50k,482.13058654467267,230.07689396540323,255.24831223487854,0.54966139793396,0.09321506818135579,0.45922478040059406
